Points:0,Points:1,Points:2,total_traction:0,total_traction:1,total_traction:2
0.098342,0.021179,2.9874,-110280.0,-24442.0,-118.27
0.10017,0.010011,2.9876,-112320.0,-11980.0,-50.216
0.099109,0.017348,2.9954,-111140.0,-20179.0,187.07
0.012441,-0.099037,3.9903,-14173.0,111780.0,952.96
0.020427,-0.097708,3.9821,-22791.0,110350.0,-40.313
0.011287,-0.099196,3.9798,-12869.0,111950.0,-75.596
0.098253,-0.019373,0.52223,-111220.0,22744.0,925.02
0.098933,-0.016248,0.53136,-111870.0,19247.0,1329.6
0.099802,-0.0090941,0.52155,-112980.0,11031.0,1115.3
-0.09588,-0.035874,2.0916,106230.0,39116.0,-126.51
-0.09644,-0.034341,2.0822,106870.0,37336.0,-528.39
-0.099033,-0.025646,2.0885,109800.0,27529.0,-325.65
-0.033748,0.097717,1.6602,37686.0,-106860.0,-182.83
-0.044258,0.093331,1.6611,48790.0,-102270.0,-303.36
-0.037883,0.09617,1.6518,42222.0,-105150.0,-417.68
0.0954,-0.0060718,0.38594,-113080.0,1464.8,9664.3
0.094544,-0.0064974,0.37633,-113020.0,1081.7,10399.0
0.094357,-0.016113,0.38145,-112360.0,13081.0,9244.1
0.095046,-0.034919,-1.5394,-108130.0,40006.0,748.34
0.097832,-0.026101,-1.5454,-111230.0,30346.0,752.94
0.095046,-0.03473,-1.5494,-108190.0,39864.0,741.17
-0.089016,0.045396,3.5234,100420.0,-51399.0,366.48
-0.088224,0.046902,3.5139,99454.0,-53249.0,-450.53
-0.083285,0.055131,3.5182,94031.0,-62326.0,-90.757
0.10269,0.0087036,1.6589,-112830.0,-10461.0,35.088
0.10126,0.018849,1.6551,-111300.0,-21234.0,-231.36
0.10267,0.0089355,1.6495,-112830.0,-10427.0,-457.19
-0.10046,0.019231,-1.4152,113300.0,-21202.0,923.34
-0.10048,0.019574,-1.4053,113230.0,-21536.0,998.63
-0.1018,0.010069,-1.4098,114710.0,-11282.0,963.76
0.063708,-0.023903,0.16435,-110910.0,-16424.0,16824.0
0.060633,-0.016807,0.15464,-107700.0,-30865.0,17344.0
0.062766,-0.02688,0.15504,-111510.0,-13896.0,14982.0
0.061724,-0.015047,0.16414,-107230.0,-31802.0,18563.0
0.10041,0.024749,1.4143,-109930.0,-27726.0,-295.27
0.10185,0.018136,1.4232,-111430.0,-20902.0,-211.7
0.099203,0.0291,1.4223,-108650.0,-32370.0,-140.98
0.078648,-0.021082,-0.26546,-113570.0,3376.5,-16874.0
0.080074,-0.019034,-0.27461,-113510.0,2346.8,-17571.0
0.078779,-0.030003,-0.27232,-112520.0,17348.0,-15333.0
-0.085001,0.052497,3.5268,95761.0,-59628.0,285.19
0.077431,-0.012705,-0.25947,-112760.0,-10482.0,-19147.0
0.075185,-0.0036268,-0.25504,-110330.0,-24230.0,-20737.0
0.096853,0.029701,-0.5657,-109930.0,-33917.0,-2416.9
0.099512,0.018955,-0.56308,-112850.0,-22327.0,-2311.8
0.09714,0.028157,-0.55642,-110400.0,-32350.0,-2048.5
0.098281,0.018313,3.7312,-110640.0,-21720.0,-44.07
0.096549,0.025718,3.7389,-108780.0,-29651.0,235.36
0.095472,0.029401,3.731,-107580.0,-33753.0,0.77279
-0.091057,0.047297,0.82737,100690.0,-52390.0,519.43
-0.095678,0.037077,0.83042,105890.0,-40870.0,691.63
-0.094581,0.039677,0.82161,104840.0,-43502.0,262.92
0.10183,0.017486,1.501,-111630.0,-19672.0,-505.46
-0.10336,0.016664,-1.0804,113780.0,-17954.0,410.49
-0.1017,0.025149,-1.0728,111940.0,-27185.0,363.18
-0.10343,0.016472,-1.07,113820.0,-17723.0,357.82
-0.10152,0.025735,-1.0816,111720.0,-28049.0,496.59
-0.099863,-0.0028512,-1.9738,115390.0,3070.6,-45.099
0.10276,-0.0090282,1.6083,-112880.0,10053.0,-37.653
0.10154,-0.018013,1.6012,-111530.0,20085.0,-282.24
0.10173,-0.016802,1.612,-111720.0,18996.0,-178.33
-0.082794,-0.063956,-1.1176,90026.0,71876.0,391.53
-0.075413,-0.072322,-1.1218,82596.0,80305.0,412.31
-0.080143,-0.06711,-1.128,87017.0,75495.0,261.72
0.10077,0.019096,1.8726,-111180.0,-21592.0,-214.42
0.10223,0.0089902,1.8685,-112780.0,-10384.0,-437.72
0.10219,0.0091205,1.8781,-112770.0,-10426.0,-3.7705
0.094146,-0.041485,-1.3285,-105510.0,46347.0,947.68
0.09753,-0.032927,-1.3235,-109010.0,37381.0,880.46
0.097477,-0.032828,-1.3334,-109050.0,37260.0,969.58
-0.098028,-0.02929,2.0985,108670.0,31684.0,-105.76
0.093855,-0.046774,-0.98927,-103180.0,51179.0,-2.2409
0.089771,-0.054261,-0.98025,-98933.0,58959.0,254.48
0.094605,-0.045223,-0.97962,-103890.0,49711.0,414.85
-0.043976,0.092067,-1.4652,50563.0,-103590.0,967.3
-0.052211,0.087527,-1.4691,59795.0,-98553.0,975.9
-0.044084,0.091928,-1.4751,50756.0,-103500.0,1007.9
0.089375,-0.05492,-0.98978,-98334.0,59957.0,134.88
-0.031852,0.098139,1.755,35687.0,-107520.0,-296.35
-0.041994,0.09415,1.7582,46924.0,-103110.0,-85.313
-0.040635,0.094768,1.7494,45535.0,-103730.0,-595.75
-0.10025,-0.0048582,2.9547,112860.0,4948.9,-411.97
-0.10024,0.0041693,2.9615,112890.0,-4272.6,-202.25
-0.10012,-0.0069784,2.964,112740.0,7189.6,-20.452
-0.1035,0.016273,-1.0606,113840.0,-17557.0,614.76
-0.10151,0.026064,-1.0638,111920.0,-27237.0,480.07
-0.017957,0.10153,-1.351,19469.0,-113590.0,989.92
-0.018076,0.10143,-1.3609,19762.0,-113540.0,981.22
-0.0089863,0.10261,-1.3556,9130.6,-114890.0,956.66
-0.01031,-0.097512,0.10464,19399.0,111740.0,-1067.5
-0.013004,-0.096846,0.11599,25236.0,110550.0,-1172.4
-0.0047859,-0.098101,0.11248,8120.1,113110.0,-1540.2
0.090472,-0.045026,2.6245,-101330.0,50150.0,-180.39
0.094258,-0.036423,2.6329,-105320.0,41097.0,27.264
0.09425,-0.036481,2.6235,-105450.0,40777.0,-209.68
0.096305,0.026766,-1.8689,-111060.0,-31300.0,36.487
0.098638,0.016526,-1.8701,-113650.0,-19945.0,-147.06
0.098433,0.017848,-1.8615,-113420.0,-21204.0,396.72
0.052225,-0.06209,-0.029093,-107850.0,36300.0,-405.94
0.049107,-0.069535,-0.037026,-101840.0,50863.0,71.853
-0.018027,-0.095533,0.10855,35553.0,107690.0,-1000.4
0.10024,0.025816,1.3084,-109650.0,-28917.0,114.12
0.097186,0.035519,1.3015,-106530.0,-38855.0,-80.156
0.10028,0.025746,1.2998,-109680.0,-28807.0,-305.77
-0.033386,0.094371,3.8518,38430.0,-105960.0,17.026
-0.03955,0.0919,3.8452,45540.0,-103110.0,137.1
-0.030659,0.09532,3.8414,35186.0,-107090.0,267.74
0.10006,-0.0073103,0.53079,-113170.0,8857.6,1207.1
-0.094484,-0.037148,0.63653,105980.0,40684.0,973.52
-0.09685,-0.029995,0.62795,108720.0,32667.0,751.11
-0.097955,-0.026333,0.63595,109840.0,28655.0,1062.3
0.09638,0.026612,-1.8588,-111050.0,-31341.0,291.89
0.090689,-0.044549,2.6344,-101470.0,49852.0,-66.92
-0.059865,0.079921,3.8333,68100.0,-89827.0,85.977
-0.065473,0.075359,3.8273,74125.0,-84926.0,103.17
-0.057658,0.081539,3.8225,65576.0,-91690.0,20.441
0.069696,-0.018323,-0.21029,-112300.0,-14179.0,-18661.0
0.066727,-0.012576,-0.19919,-109860.0,-26305.0,-19840.0
0.067712,-0.0095102,-0.20862,-109120.0,-28703.0,-20715.0
0.072896,-0.015596,-0.23117,-112460.0,-12841.0,-19099.0
0.068449,-0.021379,-0.20054,-112730.0,-11250.0,-17846.0
0.10178,-0.00021331,2.3129,-113140.0,170.12,-309.93
0.10145,-0.0080428,2.3076,-112770.0,9142.1,-167.08
0.1013,-0.0094562,2.3185,-112610.0,10922.0,-309.52
0.070787,-0.0076309,-0.22722,-109790.0,-26093.0,-20982.0
-0.003588,0.087448,-0.37215,3062.4,-113040.0,-20937.0
-0.011588,0.088412,-0.38065,13007.0,-112530.0,-19836.0
-0.00099787,0.089071,-0.38094,251.92,-113280.0,-19877.0
0.10231,-0.0091469,0.85038,-113000.0,10645.0,366.15
0.10083,-0.019476,0.85502,-111390.0,21756.0,458.94
0.10234,-0.0093535,0.85996,-112970.0,10861.0,727.64
-0.042926,-0.010636,0.0079261,88458.0,-71242.0,791.56
-0.047311,-0.016906,0.00052222,97456.0,-58414.0,-95.664
-0.041361,-0.0087985,-0.0015008,85225.0,-75141.0,-182.95
-0.011983,0.086531,-0.37061,14021.0,-112150.0,-21255.0
-0.097917,-0.027473,2.3558,109090.0,29973.0,8.851
-0.093992,-0.039041,2.3534,104840.0,42510.0,-217.5
-0.096882,-0.031107,2.3471,107890.0,34035.0,-705.22
0.10118,-0.016687,1.8786,-111650.0,19015.0,-126.91
0.10218,-0.0095712,1.8688,-112720.0,11047.0,-247.3
0.10058,-0.02002,1.8694,-110940.0,22791.0,-379.09
0.037412,0.092653,3.9571,-42169.0,-104500.0,180.32
0.039321,0.091862,3.9476,-43820.0,-103820.0,-350.88
0.047987,0.087703,3.9537,-52943.0,-99479.0,-21.249
0.10236,-0.00099912,2.003,-113220.0,1276.8,-55.144
0.10238,-0.00057105,1.9935,-113220.0,802.73,-546.27
0.10175,-0.011094,1.9968,-112480.0,12947.0,-301.4
-0.051073,0.088436,0.73035,57558.0,-97845.0,430.76
-0.042826,0.092835,0.7346,48641.0,-102570.0,650.29
-0.052806,0.087466,0.74026,59429.0,-96715.0,855.24
-0.086455,-0.049235,-0.46001,100050.0,56710.0,-2072.0
-0.085608,-0.050971,-0.46887,98933.0,58639.0,-2359.9
-0.090474,-0.041638,-0.46808,104790.0,47366.0,-2569.8
0.083388,0.053654,0.47135,-95473.0,-61306.0,3687.6
0.077736,0.061689,0.47296,-89148.0,-70186.0,3710.8
0.080587,0.057282,0.46329,-92516.0,-65631.0,4493.9
-0.066655,-0.030366,0.18154,112300.0,-607.46,15676.0
-0.067337,-0.023774,0.18817,111630.0,-9546.2,17509.0
-0.067955,-0.033775,0.19155,112130.0,6670.3,15516.0
-0.10048,0.022506,-1.3353,112680.0,-24185.0,776.84
-0.10044,0.023055,-1.3255,112530.0,-24825.0,1219.6
-0.10231,0.011803,-1.3291,114390.0,-13935.0,1176.7
0.074822,0.064734,0.46458,-85863.0,-74115.0,4620.8
-0.028685,0.1001,-1.2272,32047.0,-110670.0,1055.0
-0.037655,0.096943,-1.2347,42117.0,-107250.0,725.28
-0.027343,0.10039,-1.2362,30792.0,-111030.0,517.25
0.0057454,-0.10159,0.70957,-6846.5,113310.0,551.06
-0.0045824,-0.10169,0.70644,4351.6,113430.0,689.37
-0.0027527,-0.1018,0.71616,2030.4,113500.0,650.75
0.1022,-0.016953,1.2449,-111790.0,19115.0,-289.04
0.099928,-0.027108,1.2484,-109320.0,30182.0,-120.11
0.10214,-0.017294,1.2539,-111660.0,19862.0,114.63
0.099818,-0.021023,0.73844,-110980.0,23850.0,551.66
0.10044,-0.018225,0.74755,-111560.0,20976.0,914.9
0.10161,-0.0098318,0.74021,-112920.0,11562.0,645.92
-0.090526,-0.041008,-0.45781,105290.0,46236.0,-2597.0
0.041227,-0.0062012,0.055091,-84208.0,-75634.0,7333.3
0.041815,-0.0058176,0.064745,-84911.0,-74601.0,9193.1
0.034352,0.00076686,0.060185,-69658.0,-88966.0,9585.5
-0.059786,0.080074,3.3798,67773.0,-90233.0,131.33
-0.064197,0.076573,3.37,72647.0,-86361.0,-128.2
-0.055382,0.083229,3.3725,63209.0,-93489.0,-109.9
0.10023,-0.021318,1.8958,-110660.0,24066.0,-416.21
0.10207,-0.0099846,1.8978,-112630.0,11812.0,-288.96
0.10119,-0.016492,1.8886,-111690.0,18726.0,-475.29
-0.029914,0.10088,-1.0061,33148.0,-110300.0,206.05
-0.03852,0.097842,-1.0101,43116.0,-106800.0,348.83
-0.029894,0.10086,-1.0171,33279.0,-110270.0,54.171
0.097975,0.033294,1.3109,-107360.0,-36501.0,-31.508
0.10099,-0.027227,-1.0883,-111060.0,30578.0,495.46
0.10091,-0.02769,-1.0786,-110970.0,30904.0,602.78
0.10311,-0.018067,-1.0825,-113310.0,20752.0,492.87
-0.07413,-0.029459,0.23231,111890.0,8541.7,16522.0
-0.075421,-0.031065,0.24206,111510.0,12780.0,16436.0
-0.073292,-0.0396,0.23683,109960.0,23814.0,14435.0
0.090469,-0.053045,-0.99921,-99563.0,57898.0,224.2
0.10365,-0.00037438,1.2843,-113400.0,840.68,89.331
0.10365,-1.0316e-05,1.2746,-113400.0,228.76,-315.85
0.10313,-0.010131,1.2795,-112820.0,11491.0,-162.69
-0.076929,0.063674,3.4826,86780.0,-72096.0,-276.32
-0.084142,0.053877,3.4838,94523.0,-61594.0,-186.88
-0.080938,0.058555,3.4766,91179.0,-66444.0,-935.76
0.094753,-0.044893,-0.99919,-104190.0,49082.0,205.67
-0.051554,0.089253,1.7271,57472.0,-97635.0,-117.95
-0.0061893,0.099949,-1.9898,6411.5,-115270.0,772.58
0.0038679,0.09997,-1.9843,-5229.7,-115320.0,145.52
-0.0043672,0.10003,-1.9796,4071.0,-115370.0,32.997
-0.058263,-0.0018967,0.1723,99354.0,-50051.0,21888.0
-0.05782,0.0030951,0.18206,95758.0,-55993.0,23493.0
-0.061987,-0.0052674,0.18256,103370.0,-41246.0,21695.0
-0.10042,-0.01426,2.4271,112100.0,15063.0,-478.74
-0.10122,-0.0052528,2.4337,112960.0,5859.2,-262.75
-0.10011,-0.016336,2.4364,111780.0,17282.0,-89.402
-0.095849,-0.034145,2.3617,106750.0,37458.0,216.0
0.10134,0.00033508,2.5526,-113080.0,-497.38,-570.81
-0.054656,0.083772,3.3206,62421.0,-94035.0,-59.693
-0.063292,0.077371,3.3217,71694.0,-87171.0,-36.627
-0.058492,0.08111,3.3122,66560.0,-91155.0,-180.4
-0.071757,0.074413,1.5446,78480.0,-81772.0,-237.53
-0.07609,0.070013,1.5388,83238.0,-76927.0,-150.84
-0.069066,0.076949,1.5332,76221.0,-83886.0,45.414
0.10256,0.0093717,0.91047,-112940.0,-11119.0,467.59
