Points:0,Points:1,Points:2,total_traction:0,total_traction:1,total_traction:2
0.10154,-0.018013,1.6012,-80089.5,14422.9,-196.845
0.10173,-0.016802,1.612,-80224.0,13640.75,-122.286
-0.082794,-0.063956,-1.1176,65361.5,52184.0,289.63
-0.075413,-0.072322,-1.1218,59967.0,58304.0,304.665
-0.080143,-0.06711,-1.128,63177.5,54812.0,195.27500000000003
0.10077,0.019096,1.8726,-79808.0,-15499.25,-147.8315
0.10223,0.0089902,1.8685,-80957.0,-7454.1,-308.255
0.10219,0.0091205,1.8781,-80949.5,-7484.0,3.2452499999999995
0.094146,-0.041485,-1.3285,-76620.5,33657.0,693.7149999999999
0.09753,-0.032927,-1.3235,-79162.0,27145.5,644.88
0.097477,-0.032828,-1.3334,-79192.5,27058.0,709.585
-0.098028,-0.02929,2.0985,77982.0,22736.5,-69.821
0.093855,-0.046774,-0.98927,-74900.5,37152.0,3.7294
0.089771,-0.054261,-0.98025,-71817.5,42799.5,190.05
0.094605,-0.045223,-0.97962,-75415.0,36086.0,306.515
-0.043976,0.092067,-1.4652,36724.0,-75238.0,708.26
-0.052211,0.087527,-1.4691,43429.5,-71579.5,714.4649999999999
-0.044084,0.091928,-1.4751,36864.5,-75173.0,737.765
0.089375,-0.05492,-0.98978,-71383.5,43524.5,103.104
-0.031852,0.098139,1.755,25621.5,-77193.0,-206.79000000000002
-0.041994,0.09415,1.7582,33688.5,-74027.0,-55.343
-0.040635,0.094768,1.7494,32692.0,-74473.5,-421.82
-0.10025,-0.0048582,2.9547,80885.5,3546.7999999999997,-288.79
-0.10024,0.0041693,2.9615,80905.0,-3062.1000000000004,-138.529
-0.10012,-0.0069784,2.964,80797.0,5152.65,-8.162700000000001
-0.1035,0.016273,-1.0606,82645.5,-12745.95,451.605
-0.10151,0.026064,-1.0638,81252.5,-19773.5,353.75
-0.017957,0.10153,-1.351,14138.45,-82490.0,724.365
-0.018076,0.10143,-1.3609,14351.5,-82455.0,718.0450000000001
-0.0089863,0.10261,-1.3556,6630.75,-83433.5,700.235
-0.01031,-0.097512,0.10464,13917.9,80176.5,-731.99
-0.013004,-0.096846,0.11599,18105.5,79321.0,-809.855
-0.0047859,-0.098101,0.11248,5825.55,81160.5,-1073.245
0.090472,-0.045026,2.6245,-72657.5,35960.0,-122.9605
0.094258,-0.036423,2.6329,-75518.5,29468.0,25.8855
0.09425,-0.036481,2.6235,-75612.5,29239.0,-144.156
0.096305,0.026766,-1.8689,-80710.0,-22746.5,34.1035
0.098638,0.016526,-1.8701,-82593.0,-14494.55,-99.5155
0.098433,0.017848,-1.8615,-82423.0,-15408.9,295.545
0.052225,-0.06209,-0.029093,-77559.5,26108.5,-240.3435
0.049107,-0.069535,-0.037026,-73261.0,36592.0,101.53649999999999
-0.018027,-0.095533,0.10855,25507.5,77269.0,-686.43
0.10024,0.025816,1.3084,-78767.0,-20772.5,87.4945
0.097186,0.035519,1.3015,-76528.0,-27912.0,-52.075
0.10028,0.025746,1.2998,-78790.0,-20694.0,-214.17499999999998
-0.033386,0.094371,3.8518,27504.0,-75836.5,18.616500000000002
-0.03955,0.0919,3.8452,32593.0,-73796.5,104.45849999999999
-0.030659,0.09532,3.8414,25183.0,-76645.0,198.03
0.10006,-0.0073103,0.53079,-81304.0,6363.9,868.3249999999999
-0.094484,-0.037148,0.63653,76149.0,29232.5,702.0699999999999
-0.09685,-0.029995,0.62795,78117.5,23472.0,542.09
-0.097955,-0.026333,0.63595,78923.5,20589.5,765.525
0.09638,0.026612,-1.8588,-80699.5,-22775.5,219.29
0.090689,-0.044549,2.6344,-72757.5,35745.5,-41.795500000000004
-0.059865,0.079921,3.8333,48740.5,-64291.0,68.023
-0.065473,0.075359,3.8273,53053.0,-60783.5,80.2915
-0.057658,0.081539,3.8225,46934.5,-65625.5,21.177
0.069696,-0.018323,-0.21029,-81294.5,-10268.7,-13476.1
0.066727,-0.012576,-0.19919,-79507.0,-19042.0,-14323.85
0.067712,-0.0095102,-0.20862,-78991.0,-20782.5,-14963.9
0.072896,-0.015596,-0.23117,-81444.0,-9304.15,-13804.85
0.068449,-0.021379,-0.20054,-81586.0,-8146.5,-12882.75
0.10178,-0.00021331,2.3129,-81164.5,122.04650000000001,-216.16500000000002
0.10145,-0.0080428,2.3076,-80900.0,6558.35,-113.763
0.1013,-0.0094562,2.3185,-80783.5,7835.1,-215.85
0.070787,-0.0076309,-0.22722,-79507.0,-18900.5,-15167.2
-0.003588,0.087448,-0.37215,2221.0,-81985.5,-15175.95
-0.011588,0.088412,-0.38065,9433.75,-81619.5,-14378.4
-0.00099787,0.089071,-0.38094,182.81,-82162.0,-14408.1
0.10231,-0.0091469,0.85038,-81201.0,7649.35,266.635
0.10083,-0.019476,0.85502,-80044.5,15633.55,333.445
0.10234,-0.0093535,0.85996,-81180.5,7804.6,526.53
-0.042926,-0.010636,0.0079261,63526.5,-51156.5,617.5
-0.047311,-0.016906,0.00052222,70005.5,-41956.0,-21.271
-0.041361,-0.0087985,-0.0015008,61219.5,-53970.5,-81.34049999999999
-0.011983,0.086531,-0.37061,10168.95,-81339.5,-15406.75
-0.097917,-0.027473,2.3558,78253.0,21500.5,12.692499999999999
-0.093992,-0.039041,2.3534,75205.5,30493.5,-149.816
-0.096882,-0.031107,2.3471,77394.0,24414.5,-499.755
0.10118,-0.016687,1.8786,-80144.0,13649.35,-85.071
0.10218,-0.0095712,1.8688,-80913.5,7929.85,-171.59300000000002
0.10058,-0.02002,1.8694,-79636.5,16360.0,-266.13
0.037412,0.092653,3.9571,-30175.5,-74778.5,135.61849999999998
0.039321,0.091862,3.9476,-31357.5,-74294.0,-244.63
0.047987,0.087703,3.9537,-37885.5,-71186.0,-8.725399999999999
0.10236,-0.00099912,2.003,-81256.5,916.335,-33.5025
0.10238,-0.00057105,1.9935,-81259.5,576.16,-386.09
0.10175,-0.011094,1.9968,-80727.5,9292.2,-210.26
-0.051073,0.088436,0.73035,41360.5,-70310.5,310.78499999999997
-0.042826,0.092835,0.7346,34953.0,-73706.0,468.64
-0.052806,0.087466,0.74026,42705.5,-69499.0,616.065
-0.086455,-0.049235,-0.46001,72573.0,41134.5,-1495.29
-0.085608,-0.050971,-0.46887,71764.0,42534.5,-1704.3000000000002
-0.090474,-0.041638,-0.46808,76013.5,34357.5,-1856.6000000000001
0.083388,0.053654,0.47135,-68581.5,-44038.0,2647.35
0.077736,0.061689,0.47296,-64038.5,-50416.5,2663.9
0.080587,0.057282,0.46329,-66456.5,-47144.0,3226.2999999999997
-0.066655,-0.030366,0.18154,80583.5,-435.025,11257.8
-0.067337,-0.023774,0.18817,80105.0,-6849.650000000001,12572.3
-0.067955,-0.033775,0.19155,80467.0,4787.65,11143.35
-0.10048,0.022506,-1.3353,81827.5,-17563.0,569.6800000000001
-0.10044,0.023055,-1.3255,81718.5,-18027.5,891.15
-0.10231,0.011803,-1.3291,83070.0,-10119.55,860.08
0.074822,0.064734,0.46458,-61677.5,-53238.0,3317.3500000000004
-0.028685,0.1001,-1.2272,23269.5,-80359.0,771.37
-0.037655,0.096943,-1.2347,30582.0,-77876.0,531.985
-0.027343,0.10039,-1.2362,22358.5,-80622.0,380.98
0.0057454,-0.10159,0.70957,-4919.6,81419.5,400.07
-0.0045824,-0.10169,0.70644,3126.8500000000004,81506.0,499.485
-0.0027527,-0.1018,0.71616,1458.955,81555.5,471.73
0.1022,-0.016953,1.2449,-80310.5,13732.25,-202.37
0.099928,-0.027108,1.2484,-78536.0,21682.5,-81.0205
0.10214,-0.017294,1.2539,-80215.5,14268.6,87.6725
0.099818,-0.021023,0.73844,-79748.0,17138.0,399.315
0.10044,-0.018225,0.74755,-80164.0,15072.95,660.385
0.10161,-0.0098318,0.74021,-81143.0,8308.1,466.84
-0.090526,-0.041008,-0.45781,76374.0,33537.0,-1876.3
0.041227,-0.0062012,0.055091,-60416.5,-54258.5,5300.25
0.041815,-0.0058176,0.064745,-60912.5,-53510.0,6630.3
0.034352,0.00076686,0.060185,-49969.5,-63813.0,6911.85
-0.059786,0.080074,3.3798,48540.0,-64626.5,100.59100000000001
-0.064197,0.076573,3.37,52032.0,-61854.5,-85.3245
-0.055382,0.083229,3.3725,45272.0,-66959.5,-72.1565
0.10023,-0.021318,1.8958,-79433.0,17274.5,-292.65
0.10207,-0.0099846,1.8978,-80846.5,8478.65,-201.44
0.10119,-0.016492,1.8886,-80173.0,13441.7,-335.315
-0.029914,0.10088,-1.0061,24063.5,-80072.0,154.825
-0.03852,0.097842,-1.0101,31299.5,-77531.0,258.45
-0.029894,0.10086,-1.0171,24159.0,-80049.5,44.6355
0.097975,0.033294,1.3109,-77123.0,-26220.5,-17.2262
0.10099,-0.027227,-1.0883,-80630.0,22199.5,365.02
0.10091,-0.02769,-1.0786,-80563.0,22436.0,442.875
0.10311,-0.018067,-1.0825,-82262.5,15065.85,363.07
-0.07413,-0.029459,0.23231,80316.5,6131.25,11863.6
-0.075421,-0.031065,0.24206,80046.5,9173.85,11802.65
-0.073292,-0.0396,0.23683,78930.5,17094.0,10366.9
0.090469,-0.053045,-0.99921,-72276.5,42030.0,168.09
0.10365,-0.00037438,1.2843,-81463.5,603.8199999999999,69.5515
0.10365,-1.0316e-05,1.2746,-81466.0,164.28449999999998,-221.63
0.10313,-0.010131,1.2795,-81047.5,8254.85,-111.499
-0.076929,0.063674,3.4826,62143.5,-51628.5,-191.25
-0.084142,0.053877,3.4838,67688.5,-44108.0,-127.32249999999999
-0.080938,0.058555,3.4766,65295.0,-47581.5,-663.9
0.094753,-0.044893,-0.99919,-75635.5,35630.5,154.48499999999999
-0.051554,0.089253,1.7271,41263.0,-70099.0,-78.828
-0.0061893,0.099949,-1.9898,4661.2,-83802.0,577.965
