Points:0,Points:1,Points:2,total_traction:0,total_traction:1,total_traction:2
0.097832,-0.026101,-1.5454,-50358.0,13739.0,352.47
0.095046,-0.03473,-1.5494,-48981.0,18049.0,347.36
-0.089016,0.045396,3.5234,43392.0,-22210.0,171.47
-0.088224,0.046902,3.5139,42978.0,-23011.0,-181.86
-0.083285,0.055131,3.5182,40634.0,-26933.0,-26.11
0.10269,0.0087036,1.6589,-49201.0,-4561.7,27.017
0.10126,0.018849,1.6551,-48538.0,-9260.0,-89.163
0.10267,0.0089355,1.6495,-49206.0,-4547.4,-187.65
-0.10046,0.019231,-1.4152,51269.0,-9594.5,429.18
-0.10048,0.019574,-1.4053,51237.0,-9745.2,463.1
-0.1018,0.010069,-1.4098,51906.0,-5105.2,447.37
0.063708,-0.023903,0.16435,-48240.0,-7140.2,7339.7
0.060633,-0.016807,0.15464,-46837.0,-13418.0,7566.9
0.062766,-0.02688,0.15504,-48495.0,-6038.5,6542.3
0.061724,-0.015047,0.16414,-46641.0,-13830.0,8094.7
0.10041,0.024749,1.4143,-47987.0,-12103.0,-117.66
0.10185,0.018136,1.4232,-48639.0,-9124.1,-81.187
0.099203,0.0291,1.4223,-47428.0,-14130.0,-50.044
0.078648,-0.021082,-0.26546,-51013.0,1508.4,-7536.1
0.080074,-0.019034,-0.27461,-51009.0,1048.1,-7857.4
0.078779,-0.030003,-0.27232,-50555.0,7787.2,-6848.0
-0.085001,0.052497,3.5268,41379.0,-25766.0,135.82
0.077431,-0.012705,-0.25947,-50644.0,-4715.9,-8556.2
0.075185,-0.0036268,-0.25504,-49545.0,-10888.0,-9268.0
0.096853,0.029701,-0.5657,-49582.0,-15298.0,-1077.1
0.099512,0.018955,-0.56308,-50901.0,-10071.0,-1029.9
0.09714,0.028157,-0.55642,-49793.0,-14591.0,-910.9
0.098281,0.018313,3.7312,-47759.0,-9375.9,-5.8961
0.096549,0.025718,3.7389,-46954.0,-12798.0,114.56
0.095472,0.029401,3.731,-46439.0,-14570.0,13.332
-0.091057,0.047297,0.82737,44022.0,-22906.0,233.13
-0.095678,0.037077,0.83042,46294.0,-17869.0,308.59
-0.094581,0.039677,0.82161,45835.0,-19020.0,120.95
0.10183,0.017486,1.501,-48712.0,-8584.3,-209.15
-0.10336,0.016664,-1.0804,51430.0,-8115.2,196.18
-0.1017,0.025149,-1.0728,50593.0,-12287.0,174.61
-0.10343,0.016472,-1.07,51444.0,-8010.3,172.38
-0.10152,0.025735,-1.0816,50499.0,-12678.0,234.81
-0.099863,-0.0028512,-1.9738,52371.0,1393.7,2.9552
0.10276,-0.0090282,1.6083,-49234.0,4384.6,-4.8069
0.10154,-0.018013,1.6012,-48649.0,8760.8,-111.45
0.10173,-0.016802,1.612,-48728.0,8285.5,-66.242
-0.082794,-0.063956,-1.1176,40697.0,32492.0,187.73
-0.075413,-0.072322,-1.1218,37338.0,36303.0,197.02
-0.080143,-0.06711,-1.128,39338.0,34129.0,128.83
0.10077,0.019096,1.8726,-48436.0,-9406.5,-81.243
0.10223,0.0089902,1.8685,-49134.0,-4524.2,-178.79
0.10219,0.0091205,1.8781,-49129.0,-4542.0,10.261
0.094146,-0.041485,-1.3285,-47731.0,20967.0,439.75
0.09753,-0.032927,-1.3235,-49314.0,16910.0,409.3
0.097477,-0.032828,-1.3334,-49335.0,16856.0,449.59
-0.098028,-0.02929,2.0985,47294.0,13789.0,-33.882
0.093855,-0.046774,-0.98927,-46621.0,23125.0,9.6997
0.089771,-0.054261,-0.98025,-44702.0,26640.0,125.62
0.094605,-0.045223,-0.97962,-46940.0,22461.0,198.18
-0.043976,0.092067,-1.4652,22885.0,-46886.0,449.22
-0.052211,0.087527,-1.4691,27064.0,-44606.0,453.03
-0.044084,0.091928,-1.4751,22973.0,-46846.0,467.63
0.089375,-0.05492,-0.98978,-44433.0,27092.0,71.328
-0.031852,0.098139,1.755,15556.0,-46866.0,-117.23
-0.041994,0.09415,1.7582,20453.0,-44944.0,-25.373
-0.040635,0.094768,1.7494,19849.0,-45217.0,-247.89
-0.10025,-0.0048582,2.9547,48911.0,2144.7,-165.61
-0.10024,0.0041693,2.9615,48920.0,-1851.6,-74.808
-0.10012,-0.0069784,2.964,48854.0,3115.7,4.1266
-0.1035,0.016273,-1.0606,51451.0,-7934.9,288.45
-0.10151,0.026064,-1.0638,50585.0,-12310.0,227.43
